[FIRs]
;ICAO|NAME|PREFIX POSITION|
;dummy codes for Adria CTR
ADR|Adria Radar||ADR
ADR-W|Adria Radar (West)|ADR_W|ADR-W
ADR-E|Adria Radar (East)|ADR_E|ADR-E
AGGG|Honiara||AGGG
ANAU|Nauru||ANAU
AYPM|Port Moresby||AYPM
BGGL|Sondrestrom|SFJ|BGGL
BGG1|Sondre Stromfjord|GREN|BGGL
BIRD|Reykjavik||BIRD
BIRD-E|Reykjavik ACC (East) - Reykjavik|BIRD_E|BIRD-E
BIRD-N|Reykjavik ACC (North) - Reykjavik|BIRD_N|BIRD-N
BIRD-S|Reykjavik ACC (South) - Reykjavik|BIRD_S|BIRD-S
BIRD-W|Reykjavik ACC (West) - Reykjavik|BIRD_W|BIRD-W
CZEG|Edmonton|EDM|CZEG
CZEG|Edmonton|ZEG|CZEG
CZQM|Moncton|MCN|CZQM
CZQX|Gander|GAND|CZQX
CZQX|Gander|YQX|CZQX
CZQX|Gander Radio|GAN|CZQX
CZUL|Montreal|MTL|CZUL
CZVR|Vancouver|VAN|CZVR
CZVR|Vancouver|CYVR|CZVR
CZVR|Vancouver|ZVR|CZVR
CZWG|Winnipeg|YWG|CZWG
CZWG|Winnipeg|ZWG|CZWG
CZYZ|Toronto|TOR|CZYZ
DAAA|Algiers||DAAA
DGAC|Accra||DGAC
DIII|Abidjan||DIII
DNKK|Kano||DNKK
DRRR|Niamey||DRRR
DTTC|Tunis||DTTC
EBBU|Brussels||EBBU
EBUR|Brussels Upper||EBBU
EDGG|Langen||EDGG
EDGG-E|Langen ACC (East) - Langen|EDGG_E|EDGG-E
EDGG-E|Langen ACC (East) - Langen|EDGG_B|EDGG-E
EDGG-E|Langen ACC (East) - Langen|EDGG_F|EDGG-E
EDGG-E|Langen ACC (East) - Langen|EDGG_G|EDGG-E
EDGG-E|Langen ACC (East) - Langen|EDGG_K|EDGG-E
EDGG-E|Langen ACC (East) - Langen|EDGG_O|EDGG-E
EDGG-E|Langen ACC (East) - Langen|EDGG_R|EDGG-E
EDGG-E|Langen ACC (East) - Langen|EDGG_Z|EDGG-E
EDGG-N|Langen ACC (North) - Langen|EDGG_N|EDGG-N
EDGG-N|Langen ACC (North) - Langen|EDGG_H|EDGG-N
EDGG-N|Langen ACC (North) - Langen|EDGG_P|EDGG-N
EDGG-S|Langen ACC (South) - Langen|EDGG_S|EDGG-S
EDGG-W|Langen ACC (West) - Langen|EDGG_W|EDGG-W
EDGG-SE|Langen ACC (South-East) - Langen|EDGG_SE|EDGG-SE
EDGG-NW|Langen ACC (North-West) - Langen|EDGG_NW|EDGG-NW
EDMM|Muenchen|EDMM_C|EDMM
EDMM|Muenchen|EDMM_E|EDMM
EDMM|Muenchen|EDMM_F|EDMM
EDMM|Muenchen|EDMM_K|EDMM
EDMM|Muenchen|EDMM_R|EDMM
EDMM-N|Muenchen ACC (North) - Muenchen|EDMM_N|EDMM-N
EDMM-N|Muenchen ACC (North) - Muenchen|EDMM_A|EDMM-N
EDMM-N|Muenchen ACC (North) - Muenchen|EDMM_T|EDMM-N
EDMM-S|Muenchen ACC (South) - Muenchen|EDMM_S|EDMM-S
EDWW|Bremen||EDWW
EDWW-E|Bremen ACC (East) - Bremen|EDWW_E|EDWW-E
EDWW-E|Bremen ACC (East) - Bremen|EDWW_B|EDWW-E
EDWW-E|Bremen ACC (East) - Bremen|EDWW_I|EDWW-E
EDWW-E|Bremen ACC (East) - Bremen|EDWW_M|EDWW-E
EDWW-W|Bremen ACC (West) - Bremen|EDWW_W|EDWW-W
EDWW-W|Bremen ACC (West) - Bremen|EDWW_A|EDWW-W
EDWW-W|Bremen ACC (West) - Bremen|EDWW_N|EDWW-W
EDWW-W|Bremen ACC (West) - Bremen|EDWW_S|EDWW-W
EETT|Tallinn||EETT
EFIN|Helsinki||EFIN
EGGX|Shanwick Oceanic|EGX|EGGX
EGGX|Shanwick Oceanic|GX|EGGX
EGGX|Shanwick Oceanic|SH|EGGX
EGGX|Shanwick Oceanic|SR|EGGX
EGGX|Shanwick Oceanic|SHW|EGGX
EGGX|Shanwick Oceanic|SHAN|EGGX
EGGX|Shanwick Oceanic|SWICK|EGGX
EGGX|Shanwick Oceanic|SHWICK|EGGX
EGGX|Shanwick Oceanic|SAWICK|EGGX
EGGX|Shanwick Oceanic|SNWICK|EGGX
EGG1|Shanwick|SC|EGGX
EGG2|Shanwick Clearance Delivery|SC-D|EGGX
EGG3|Shanwick Oceanic Routing Clearance Authority|S-ORCA|EGGX
EGG3|Shanwick Oceanic Routing Clearance Authority|SORCA|EGGX
EGG4|Shanwick Oceanic Clearance Delivery|EGGX-D|EGGX
EGG4|Shanwick Oceanic Clearance Delivery|EGX-D|EGGX
EGG4|Shanwick Oceanic Clearance Delivery|EG-D|EGGX
EGG4|Shanwick Oceanic Clearance Delivery|GX-D|EGGX
EGG4|Shanwick Oceanic Clearance Delivery|SH-D|EGGX
EGG4|Shanwick Oceanic Clearance Delivery|SR-D|EGGX
EGG4|Shanwick Oceanic Clearance Delivery|SHW-D|EGGX
EGG4|Shanwick Oceanic Clearance Delivery|SHAN-D|EGGX
EGPX|Scottish|SCO|EGPX
EGPX-E|Scottish ACC (East) - Scottish|SCO_E|EGPX-E
EGPX-WD|Scottish ACC (West Coast) - Scottish|SCO_WD|EGPX-WD
EGPX-WD|Scottish ACC (West Coast) - Scottish|SCO_W|EGPX-WD
EGPX-WD|Scottish ACC (West Coast) - Scottish|SCO_D|EGPX-WD
EGPX-WD|Scottish ACC (West Coast) - Scottish|SCO_R|EGPX-WD
EGPX-WD|Scottish ACC (West Coast) - Scottish|STC|EGPX-WD
EGPX-WD|Scottish ACC (West Coast) - Scottish|STC_A|EGPX-WD
EGTT|London|LON|EGTT
EGTT-C|London ACC (Central) - London|LON_C|EGTT-C
EGTT-C|London ACC (Central) - London|LON_E|EGTT-C
EGTT-C|London ACC (Central) - London|LTC_N|EGTT-C
EGTT-C|London ACC (Central) - London|LTC_NW|EGTT-C
EGTT-N|London ACC (North) - London|LON_N|EGTT-N
EGTT-N|London ACC (North) - London|MAN|EGTT-N
